,Name,Link,Distance,Date,id_course,Year,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
6385,West Highland Way Challenge Race 2021 150.10 K,https://itra.run/race/2654,150.10 km, 29/05/2021,2654,2021,WEST HIGHLAND WAY CHALLENGE RACE,2021,3,GB,solo,6,56,38,,,170,2020-06-09,2021-04-30,0,111.0,EUR,1,56.8178,-5.11097,,Milngavie,Fort William,,http://whwracechallenge.co.uk/page1.php,2021-05-29 11:00:00,150.10,4360,4400,5,126000
6386,Zúmbadortrail 2021 - Maraton 43.10 K,https://itra.run/race/3594,43.10 km, 29/05/2021,3594,2021,Maraton,2021,9,VE,solo,32,15,53,,,60,2021-01-14,2021-05-09,0,20.0,USD,1,7.93705,-72.1437,VE,Casa del Padre,Casa del Padre,VE,http://zumbadortrail.com/index.php?option=com_content&view=article&id=3&Itemid=105&lang=es,2021-05-29 06:00:00,43.10,2480,2480,2,36000
6387,Trail Des Pyramides Noires 2021 - Formule Ultra  112.70 K,https://itra.run/race/2334,112.70 km, 29/05/2021,2334,2021,formule ultra ,2021,,FR,solo,20,30,50,non ,non,300,2020-11-22,2021-05-16,0,0.0,0,1,50.4643,2.99387,,Gosnay,Oignies,,,2021-05-29 00:00:00,112.70,2050,2050,-1,66600
6388,Trail Des Pyramides Noires 2021 - Formule 55 Km 55.50 K,https://itra.run/race/12947,55.50 km, 29/05/2021,12947,2021,Formule 55 km,2021,,FR,solo,20,30,50,non ,non,300,2020-12-27,2021-05-16,0,0.0,0,1,50.4643,2.99387,,Liévin,Oignies,,http://www.traildespyramidesnoires-bassinminier.com/,2021-05-29 07:00:00,55.50,700,740,-1,0
6389,Trail Des Pyramides Noires 2021 - Tpn 35 35.80 K,https://itra.run/race/23217,35.80 km, 29/05/2021,23217,2021,TPN 35,2021,,FR,solo,20,0,80,,,0,2020-12-15,2021-05-16,0,0.0,0,1,50.4643,2.99387,,Oignies,Oignies,,https:/www.traildespyramidesnoires-bassinminier.com,2021-05-29 09:00:00,35.80,470,450,-1,0
6390,Brecon Beacons Trail Challenge 2021 - Brecon Beacons Trail Marathon 43.10 K,https://itra.run/race/28209,43.10 km, 29/05/2021,28209,2021,Brecon Beacons Trail Marathon,2021,4,GB,solo,6,11,83,,,300,2020-08-01,2021-05-24,0,61.0,EUR,1,51.8959,-3.28778,GB,Talybont-on-Usk,Talybont-on-Usk,GB,https://trailevents.co/events/brecon-beacons-2021/,2021-05-29 08:30:00,43.10,1550,1550,2,0
6391,Brecon Beacons Trail Challenge 2021 - Brecon Beacons Trail Ultra 52.20 K,https://itra.run/race/28210,52.20 km, 29/05/2021,28210,2021,Brecon Beacons Trail Ultra,2021,4,GB,solo,10,24,66,,,300,2020-08-01,2021-05-24,0,68.0,EUR,1,51.8959,-3.28778,GB,Talybont-on-Usk,Talybont-on-Usk,GB,https://trailevents.co/events/brecon-beacons-2021/,2021-05-29 00:00:00,52.20,2030,2030,2,0
6392,Quartrail Des Alpages 2021 - 50k 52.40 K,https://itra.run/race/12203,52.40 km, 29/05/2021,12203,2021,50k,2021,11,IT,solo,3,32,65,Tour Trail VdA,,0,0000-00-00,0000-00-00,0,0.0,0,1,45.741,7.41436,,Quart,Quart,,,2021-05-29 06:00:00,52.40,3880,3910,3,50400
6393,Quartrail Des Alpages 2021 - 26k 26.60 K,https://itra.run/race/17603,26.60 km, 29/05/2021,17603,2021,26K,2021,10,IT,solo,2,22,76,Tour Trail VdA,,0,0000-00-00,0000-00-00,0,0.0,0,1,45.741,7.41436,,Quart,Quart,,,2021-05-29 07:30:00,26.60,2040,2040,2,25200
6394,Molde 7 Topper Ultra 2021 50.00 K,https://itra.run/race/18677,50.00 km, 29/05/2021,18677,2021,Molde 7 topper Ultra,2021,,NO,solo,13,47,40,,,250,2021-01-28,2021-05-25,1,0.0,0,1,62.7379,7.15896,,Molde,Molde,NO,https://signup.eqtiming.no/?Event=Molde7topper&lang=norwegian,2021-05-29 07:30:00,50.00,3000,3000,-1,37800
6395,La Ferme Trail 2021 23.90 K,https://itra.run/race/12389,23.90 km, 29/05/2021,12389,2021,La Ferme Trail,2021,6,MU,solo,6,20,74,,,160,2021-05-09,2021-05-26,0,8.0,EUR,1,-20.2565,57.4145,,Bambous,Bambous,,http://www.randotrail.mu/,2021-05-29 06:00:00,23.90,1250,1250,1,25200
6396,Kumagawa Rivaval Trail 2021 - Kumagawa Course 164.90 K,https://itra.run/race/28509,164.90 km, 29/05/2021,28509,2021,Kumagawa Course,2021,0,JP,solo,30,30,40,,,300,2021-03-12,2021-04-30,0,273.0,EUR,1,27.1939,-82.3459,JP,313 Yuyama Mizukami Village Kuma District Kumamoto Prefecture,Shin-minato Town Yatsushiro City Kumamoto Prefecture,JP,http://tracksession.org/krt/,2021-05-29 04:00:00,164.90,7520,7850,6,151200
6397,Kumagawa Rivaval Trail 2021 - Kawabegawa Course 99.10 K,https://itra.run/race/28510,99.10 km, 29/05/2021,28510,2021,Kawabegawa Course,2021,5,JP,solo,30,30,40,,,300,2021-03-12,2021-04-30,0,195.0,EUR,1,27.1939,-82.3459,JP,Goki-gen park Itsuki Village Kuma District Kumamoto Prefecture,Shin-minato Town Yatsushiro City Kumamoto Prefecture,JP,http://tracksession.org/krt/,2021-05-29 10:30:00,99.10,4280,4530,4,86400
6398,煤山红色古道越野赛 2021 - 长兴·煤山红色古道100越野赛 98.94 K,https://itra.run/race/28647,98.94 km, 29/05/2021,28647,2021,长兴·煤山红色古道100越野赛,2021,,CN,solo,9,1,90,,,0,2021-04-06,2021-04-30,,130.0,EUR,1,31.1032,119.735,CN,Xinchuan Village Meishan Changxing Huzhou Zhejiang,Chengxin sq. Meishan Changxing Huzhou Zhejaing,CN,https://mp.weixin.qq.com/s/L4R-AU19GmaVYkyFXJurXw,2021-05-29 05:00:00,98.94,5600,5578,-1,0
6399,Ultrabericus Trail 2021 - Trail Integrale 64.50 K,https://itra.run/race/1031,64.50 km, 29/05/2021,1031,2021,Trail Integrale,2021,4,IT,solo,20,50,30,,,1000,2020-11-24,2021-02-27,1,0.0,EUR,1,45.6349,11.4064,IT,Vicenza,Vicenza,IT,https://,2021-05-29 10:00:00,64.50,2440,2440,3,39600
6400,Ultrabericus Trail 2021 - Urban 21.20 K,https://itra.run/race/8061,21.20 km, 29/05/2021,8061,2021,Urban,2021,3,IT,solo,49,51,0,,,0,2021-03-01,2021-03-20,0,0.0,EUR,1,45.5488,11.5479,IT,vicenza,vicenza,IT,https://,2021-05-29 11:00:00,21.20,680,680,1,0
6401,煤山红色古道越野赛 2021 - 长兴·煤山红色古道50越野赛 42.51 K,https://itra.run/race/28986,42.51 km, 29/05/2021,28986,2021,长兴·煤山红色古道50越野赛,2021,,CN,solo,2,0,98,,,0,2021-04-06,2021-04-30,,60.0,EUR,1,28.709,-13.8787,CN,"Xinchuan Village, Changxing, Huzhou, Zhejiang","Yangfeng Village, Changxing, Huzhou, Zhejiang Province",CN,https://mp.weixin.qq.com/s/L4R-AU19GmaVYkyFXJurXw,2021-05-29 05:00:00,42.51,2468,2415,-1,0
6402,China 100 Mountain Cross-Count 2021 - Cross-Count 102 Km 109.80 K,https://itra.run/race/26435,109.80 km, 29/05/2021,26435,2021,Cross-Count 102 km,2021,6,CN,solo,87,7,6,,,300,2021-04-01,2021-05-15,0,135.0,美元,1,30.0393,121.15,CN,"Simingshan Yutudao, Yuyao, Zhejiang","Hengkantou, Yuyao, Zhejiang",CN,https://www.cmaar.com,2021-05-29 08:00:00,109.80,4770,4700,5,86400
6403,China 100 Mountain Cross-Count 2021 - Cross-Count 56 Km 56.00 K,https://itra.run/race/27158,56.00 km, 29/05/2021,27158,2021,Cross-Count 56 Km,2021,,CN,solo,79,11,10,,,400,2021-04-01,2021-05-15,0,105.0,欧元,1,0.0,0.0,CN,"Simingshan Yutudao, Yuyao, Zehjiang","Hengkantou, Yuyao, Zehjiang",CN,https://https://www.cmaar.com,2021-05-29 08:00:00,56.00,2635,2599,-1,86400
6404,China 100 Mountain Cross-Count 2021 - Cross-Count 29 Km 29.00 K,https://itra.run/race/29001,29.00 km, 29/05/2021,29001,2021,Cross-Count 29 Km,2021,,CN,solo,78,9,13,,,300,2021-04-01,2021-05-15,,60.0,EUR,1,0.0,0.0,CN,"Simingshan Yutudao, Yuyao, Zehjiang","Hengkantou, Yuyao, Zehjiang",CN,https://www.cmaar.com,2021-05-29 00:00:00,29.00,1686,1652,-1,32400
6405,Uttn 2021 - Uttn Chardon 45km 2021 44.90 K,https://itra.run/race/21511,44.90 km, 30/05/2021,21511,2021,UTTN chardon 45km 2021,2021,,FR,solo,5,0,95,,,400,2020-09-01,2021-05-15,0,0.0,0,1,48.7342,6.16512,FR,CHAMPIGNEULLES,CHAMPIGNEULLES,FR,http://uttn.fr/inscriptions/,2021-05-30 07:00:00,44.90,1390,1390,-1,36000
6406,Uttn 2021 - Uttn Mirabelle 31km 2021 31.60 K,https://itra.run/race/21513,31.60 km, 30/05/2021,21513,2021,UTTN mirabelle 31km 2021,2021,,FR,solo,5,0,95,,,400,2020-09-01,2021-05-15,0,0.0,0,1,48.7342,6.16512,FR,CHAMPIGNEULLES,CHAMPIGNEULLES,FR,http://uttn.fr/inscriptions/,2021-05-30 09:00:00,31.60,980,980,-1,21600
