,Name,Link,Distance,Date,id_course,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
8977,Rebel Queen 2020 - Rebel Queen 12km - Solo 12.10 K,https://itra.run/race/22953,12.10 km, 10/10/2020,22953,Rebel Queen 12km - Solo,2020,6,HK,solo,50,50,0,,,0,0000-00-00,0000-00-00,0,0.0,0,1,22.2722,114.148,,Aberdeen PHAB Barbecue Area (Next to a Kiosk),"Mount Austin Playground, Mount Austin Road, the Peak",,http://,2020-10-10 01:00:00,12.10,740,420,0,18000
8978,Rebel Queen 2020 - Rebel Queen 12km - Team Of 2 12.10 K,https://itra.run/race/22955,12.10 km, 10/10/2020,22955,Rebel Queen 12km - Team of 2,2020,6,HK,team,50,50,0,,,0,0000-00-00,0000-00-00,0,0.0,0,1,22.2722,114.148,,Aberdeen PHAB Barbecue Area (Next to a Kiosk),"Mount Austin Playground, Mount Austin Road, the Peak",,http://,2020-10-10 01:00:00,12.10,740,420,0,18000
8979,Rebel Queen 2020 - Rebel Queen 12km - Team Of 4 12.10 K,https://itra.run/race/22957,12.10 km, 10/10/2020,22957,Rebel Queen 12km - Team of 4,2020,6,HK,team,50,50,0,,,0,0000-00-00,0000-00-00,0,0.0,0,1,22.2722,114.148,,Aberdeen PHAB Barbecue Area (Next to a Kiosk),"Mount Austin Playground, Mount Austin Road, the Peak",,http://,2020-10-10 01:00:00,12.10,740,420,0,18000
8980,Vulkantrail Xl 2020 - Vulkantrail 71.60 K,https://itra.run/race/16615,71.60 km, 10/10/2020,16615,Vulkantrail,2020,3,DE,solo,40,23,37,,,600,2019-06-01,2020-10-10,1,45.0,EUR,1,50.5017,9.123,,Schotten,Schotten,,https://vulkantrail-2020.racepedia.de/,2020-10-10 08:00:00,71.60,1870,1860,3,39600
8981,Hume And Hovell Ultra 2020 - 100 Km 100.20 K,https://itra.run/race/1770,100.20 km, 10/10/2020,1770,100 Km,2020,3,AU,solo,5,95,0,,,100,2020-03-01,2020-10-07,0,0.0,0,1,-35.7765,148.01,,Tumbarumba,Tumbarumba,,http://www.humehovellultra.com,2020-10-10 06:00:00,100.20,2120,2120,4,86400
8982,Hume And Hovell Ultra 2020 - 50 Km 50.50 K,https://itra.run/race/12495,50.50 km, 10/10/2020,12495,50 km,2020,3,AU,solo,5,95,0,,,100,2020-03-01,2020-10-07,0,0.0,0,1,-35.7765,148.01,,Tumbarumba,,,http://www.humehovellultra.com,2020-10-10 09:00:00,50.50,1380,1380,2,36000
8983,Hume And Hovell Ultra 2020 - 100 Mile 161.40 K,https://itra.run/race/6395,161.40 km, 10/10/2020,6395,100 Mile,2020,3,AU,solo,0,100,0,,,100,2020-03-01,2020-10-07,0,0.0,0,1,-35.7765,148.01,,tumbarumba,,,http://www.humehovellultra.com,2020-10-10 06:00:00,161.40,3750,3750,5,115200
8984,Old Cascadia 2020 - 100 Mile 158.60 K,https://itra.run/race/12049,158.60 km, 10/10/2020,12049,100 Mile,2020,6,US,solo,4,3,93,,,100,2019-09-30,2020-06-15,0,0.0,0,1,44.4164,-122.012,,Lava Lake Sno Park,Lava Lake Sno Park,,https://ultrasignup.com/register.aspx?did=60639,2020-10-10 00:00:00,158.60,7260,7260,6,129600
8985,Old Cascadia 2020 - 50 Mile 79.70 K,https://itra.run/race/12051,79.70 km, 10/10/2020,12051,50 Mile,2020,6,US,solo,2,2,96,,,100,2019-09-30,2020-06-15,1,0.0,0,1,44.4164,-122.012,,Lava Lake Sno Park,Lava Lake Sno Park,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,79.70,3640,3630,4,57600
8986,Old Cascadia 2020 - 50 Mile 79.70 K,https://itra.run/race/12051,79.70 km, 10/10/2020,12051,50 Mile,2020,6,US,solo,2,2,96,,,100,2019-09-30,2020-06-15,1,0.0,0,1,44.4164,-122.012,,Lava Lake Sno Park,Lava Lake Sno Park,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,79.70,3640,3630,4,57600
8987,Old Cascadia 2021 - 50 Mile 76.10 K,https://itra.run/race/12051,76.10 km, 09/10/2021,12051,50 Mile,2020,6,US,solo,2,2,96,,,100,2019-09-30,2020-06-15,1,0.0,0,1,44.4164,-122.012,,Lava Lake Sno Park,Lava Lake Sno Park,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,79.70,3640,3630,4,57600
8988,Old Cascadia 2021 - 50 Mile 76.10 K,https://itra.run/race/12051,76.10 km, 09/10/2021,12051,50 Mile,2020,6,US,solo,2,2,96,,,100,2019-09-30,2020-06-15,1,0.0,0,1,44.4164,-122.012,,Lava Lake Sno Park,Lava Lake Sno Park,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,79.70,3640,3630,4,57600
8989,Old Cascadia 2020 - 20 Mile 31.70 K,https://itra.run/race/17183,31.70 km, 10/10/2020,17183,20 Mile,2020,6,US,solo,4,2,94,,,50,2019-10-31,2020-06-15,1,0.0,0,1,43.1879,-90.5675,,Blue River,Blue River,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,31.70,1440,1750,2,32400
8990,Old Cascadia 2020 - 20 Mile 31.70 K,https://itra.run/race/17183,31.70 km, 10/10/2020,17183,20 Mile,2020,6,US,solo,4,2,94,,,50,2019-10-31,2020-06-15,1,0.0,0,1,43.1879,-90.5675,,Blue River,Blue River,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,31.70,1440,1750,2,32400
8991,Old Cascadia 2021 - 20 Mile 31.70 K,https://itra.run/race/17183,31.70 km, 09/10/2021,17183,20 Mile,2020,6,US,solo,4,2,94,,,50,2019-10-31,2020-06-15,1,0.0,0,1,43.1879,-90.5675,,Blue River,Blue River,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,31.70,1440,1750,2,32400
8992,Old Cascadia 2021 - 20 Mile 31.70 K,https://itra.run/race/17183,31.70 km, 09/10/2021,17183,20 Mile,2020,6,US,solo,4,2,94,,,50,2019-10-31,2020-06-15,1,0.0,0,1,43.1879,-90.5675,,Blue River,Blue River,,https://ultrasignup.com/register.aspx?did=69304,2020-10-10 00:00:00,31.70,1440,1750,2,32400
8993,Viii Hyundai Ultramaraton Bieszczadzki 2020 - Umb 52k 52.50 K,https://itra.run/race/3742,52.50 km, 10/10/2020,3742,uMB 52K,2020,5,PL,solo,20,40,40,,,700,2019-12-13,2020-10-09,1,0.0,0,1,49.2132,22.3283,,Cisna,Cisna,,http://www.maratonbieszczadzki.pl/,2020-10-10 07:00:00,52.50,2250,2250,3,32400
